Read FITS...

Statistics of 60 x 60 x 70 image. Number of axis = 3. Bits per pixel=-32.
Command: ./main
Filtering image 'small_cube.fits' using attribute area with lambda=100.000000.
FreeImage version: 3.18.0
Image: Width=60 Height=60 Depth=70 Size=252000 Size2D=3600. nthreads for sorting and quantize the max tree: 4.
Size of int=4. Size of long=8. Size of float=4. Size of double=8.
/*** Sort the pixels ***/
Radix Sort (steps=2)
/*** Calculate the quantized image ***/
/*** Build the max tree of the quantized image. (threads 4)***/
62979 -1 37674
62980 -1 110312
62992 -1 29354
63037 -1 63822
63038 -1 148488
63039 -1 163446
63040 -1 130475
63097 -1 117547
63098 -1 232258
63099 -1 37764
63100 -1 243989
63101 -1 235503
63102 -1 174261
63106 -1 6767
63107 -1 65759
63132 -1 142510
63133 -1 184314
63158 -1 198560
63159 -1 187333
63160 -1 227108
63161 -1 56715
63162 -1 222421
63163 -1 24828
63164 -1 13695
63165 -1 242025
63166 -1 18756
63167 -1 251797
63191 -1 208195
63192 -1 56581
63193 -1 244712
63194 -1 2138
63200 -1 104639
63201 -1 202422
63219 -1 98393
63220 -1 133489
63221 -1 19987
63222 -1 125317
63223 -1 121620
63224 -1 82215
63225 -1 121622
63226 -1 161663
63227 -1 64120
63228 -1 53874
63248 -1 175801
63252 -1 206452
63253 -1 160537
63254 -1 134806
63255 -1 27147
63259 -1 130870
63260 -1 172432
63261 -1 166656
63262 -1 236198
63263 -1 178648
63280 -1 212745
63281 -1 207248
63282 -1 34303
63283 -1 25735
63284 -1 91964
63285 -1 217062
63286 -1 239738
63287 -1 138193
63288 -1 222381
63289 -1 103513
63313 -1 26088
63314 -1 144501
63315 -1 193108
63316 -1 81965
63317 -1 77037
63318 -1 49420
63319 -1 7702
63320 -1 198431
63321 -1 96453
63322 -1 115511
63340 -1 189109
63341 -1 20044
63342 -1 55197
63343 -1 214201
63344 -1 18289
63345 -1 202323
63346 -1 40382
63347 -1 80283
63360 -1 200258
63361 -1 132174
63362 -1 53551
63373 -1 178927
63374 -1 47894
63377 -1 223350
63378 -1 106477
63379 -1 194436
63380 -1 44554
63381 -1 41944
63400 -1 204220
63401 -1 35148
63402 -1 200391
63403 -1 210241
63404 -1 64016
63405 -1 98081
63406 -1 114359
63407 -1 39932
63424 -1 57284
63426 -1 86878
63427 -1 216609
63432 -1 62613
63433 -1 210306
63441 -1 125804
63462 -1 61399
63463 -1 160381
63464 -1 98859
63465 -1 8785
63466 -1 209914
63486 -1 36239
63491 -1 38743
63492 -1 53056
63493 -1 244385
63502 -1 31608
63523 -1 73182
63524 -1 186317
63525 -1 105259
63551 -1 141722
63552 -1 247089
63553 -1 99274
63554 -1 13450
63562 -1 17319
63563 -1 196039
63585 -1 179073
63612 -1 220578
63613 -1 45558
63614 -1 248057
63615 -1 80635
63616 -1 241541
63617 -1 193701
63622 -1 105635
63646 -1 109579
63673 -1 144770
63674 -1 127126
63675 -1 32117
63676 -1 16700
63677 -1 145298
63678 -1 39196
63681 -1 133351
63711 -1 59500
63722 -1 70625
63730 -1 127445
63731 -1 158005
63733 -1 37486
63734 -1 55231
63735 -1 242375
63736 -1 66239
63740 -1 186316
63783 -1 127863
63789 -1 45164
63790 -1 121805
63791 -1 101433
63792 -1 186187
63793 -1 229279
63794 -1 162995
63795 -1 130135
63801 -1 242534
63843 -1 249217
63844 -1 222231
63848 -1 156307
63849 -1 195020
63850 -1 163788
63852 -1 242856
63853 -1 168277
63854 -1 12889
63855 -1 232910
63861 -1 234903
63862 -1 105778
63881 -1 100251
63896 -1 52069
63897 -1 160212
63904 -1 58192
63905 -1 46230
63906 -1 119102
63907 -1 141088
63908 -1 243077
63909 -1 118343
63914 -1 193312
63922 -1 222565
63923 -1 137930
63924 -1 106035
63937 -1 202233
63938 -1 174441
63940 -1 213091
63941 -1 151476
63942 -1 92782
63943 -1 143187
63952 -1 160113
63953 -1 17517
63954 -1 148177
63955 -1 90982
63956 -1 199890
63964 -1 51361
63965 -1 25600
63966 -1 195294
63967 -1 64824
63968 -1 53207
63984 -1 130274
63985 -1 245621
63986 -1 160383
63988 -1 39394
63989 -1 85798
63997 -1 225096
63998 -1 214055
63999 -1 242331
64000 -1 203149
64001 -1 126168
64002 -1 107947
64004 -1 242739
64010 -1 26096
64011 -1 128270
64012 -1 99373
64021 -1 29259
64023 -1 240849
64024 -1 105061
64025 -1 73863
64026 -1 47508
64027 -1 37196
64045 -1 88818
64049 -1 175015
64052 -1 154000
64056 -1 227761
64057 -1 104305
64058 -1 222863
64059 -1 64653
64060 -1 180758
64061 -1 247648
64065 -1 42874
64066 -1 137279
64067 -1 191127
64068 -1 158135
64069 -1 100626
64070 -1 164695
64071 -1 123270
64081 -1 14548
64082 -1 48888
64083 -1 218868
64084 -1 22962
64085 -1 5088
64086 -1 235734
64109 -1 247705
64110 -1 35002
64111 -1 141172
64115 -1 177073
64116 -1 76034
64117 -1 90269
64118 -1 14876
64119 -1 10359
64120 -1 233170
64126 -1 1202
64127 -1 128120
64130 -1 228840
64131 -1 22388
64143 -1 97545
64144 -1 220602
64168 -1 20319
64169 -1 171301
64170 -1 159262
64175 -1 169839
64176 -1 44552
64177 -1 176251
64178 -1 15791
64179 -1 22956
64204 -1 198573
64205 -1 126823
64206 -1 118698
64226 -1 137677
64227 -1 148628
64228 -1 80324
64229 -1 226829
64236 -1 132674
64237 -1 176980
64238 -1 104825
64239 -1 103875
64264 -1 187469
64265 -1 231972
64266 -1 11276
64267 -1 174648
64269 -1 248995
64278 -1 16054
64279 -1 136191
64285 -1 150980
64286 -1 168559
64287 -1 38974
64288 -1 133064
64289 -1 14625
64297 -1 217577
64298 -1 229854
64299 -1 174452
64300 -1 113438
64324 -1 12399
64325 -1 106750
64326 -1 14213
64327 -1 241607
64338 -1 197901
64339 -1 206096
64346 -1 39434
64347 -1 140347
64348 -1 26802
64358 -1 196022
64359 -1 21332
64360 -1 158461
64361 -1 169092
64419 -1 106833
64451 -1 190451
64484 -1 53345
64485 -1 51099
64511 -1 241650
64512 -1 119421
64513 -1 62085
64517 -1 227019
64518 -1 18220
64532 -1 55997
64533 -1 242518
64544 -1 106906
64570 -1 136452
64571 -1 11361
64572 -1 3483
64573 -1 6157
64578 -1 118314
64579 -1 72479
64582 -1 80340
64583 -1 73126
64584 -1 61848
64591 -1 128710
64592 -1 41192
64593 -1 18281
64594 -1 76716
64615 -1 120522
64616 -1 166803
64617 -1 91344
64632 -1 141623
64633 -1 56656
64638 -1 133743
64639 -1 155460
64640 -1 39799
64641 -1 125858
64642 -1 221801
64643 -1 8806
64644 -1 46349
64645 -1 36286
64646 -1 10180
64647 -1 153926
64648 -1 16371
64651 -1 101039
64652 -1 97952
64653 -1 212878
64654 -1 203862
64655 -1 131646
64656 -1 86063
64673 -1 98858
64674 -1 198398
64678 -1 126160
61403 -1 51462
61404 -1 163173
61405 -1 5682
61407 -1 29715
61408 -1 227934
61409 -1 176872
61415 -1 21507
61416 -1 65196
64679 -1 12329
64680 -1 235339
64693 -1 223506
64694 -1 24568
64697 -1 131358
64698 -1 120511
64699 -1 225134
61454 -1 93524
61455 -1 246477
61456 -1 114014
61464 -1 112139
61465 -1 7710
61466 -1 52602
61467 -1 128389
61468 -1 22216
61469 -1 141054
64700 -1 102341
64701 -1 45482
64702 -1 149062
64703 -1 104707
64704 -1 37201
64705 -1 158990
64706 -1 9086
64707 -1 131982
64708 -1 217738
64711 -1 156961
64712 -1 128575
64713 -1 68569
61470 -1 52629
61474 -1 133696
61475 -1 65496
61498 -1 227243
61499 -1 180064
61500 -1 143269
61501 -1 187536
61502 -1 226015
61509 -1 229766
64714 -1 239463
61510 -1 17692
64739 -1 189712
61511 -1 229600
61512 -1 135176
64753 -1 11242
61513 -1 198169
64754 -1 206413
61514 -1 244378
64755 -1 156387
61515 -1 161882
64756 -1 78590
61516 -1 149406
64757 -1 220962
61517 -1 181914
64758 -1 142099
61518 -1 53538
64759 -1 148753
61525 -1 84047
64760 -1 225116
61526 -1 208959
64761 -1 48015
61527 -1 160692
64762 -1 170498
61529 -1 33650
64763 -1 37137
61530 -1 8771
64764 -1 108307
64765 -1 146725
64766 -1 43965
64767 -1 96198
64768 -1 144052
64770 -1 48121
64771 -1 206689
64772 -1 246383
64773 -1 244661
64782 -1 247447
64783 -1 251927
64784 -1 236075
64806 -1 74574
64807 -1 333
64808 -1 225954
64829 -1 234475
64843 -1 230440
64848 -1 107129
64849 -1 139785
64889 -1 174464
64902 -1 214891
64903 -1 217820
64904 -1 51820
64905 -1 182863
64908 -1 187374
64909 -1 49064
64948 -1 132808
64949 -1 107446
64964 -1 76788
64965 -1 194899
64988 -1 73902
65003 -1 98038
65004 -1 96184
65008 -1 110890
65009 -1 207143
65010 -1 60682
65015 -1 40034
65025 -1 243858
65048 -1 20021
65049 -1 223319
65055 -1 86569
65056 -1 49679
65064 -1 216165
65065 -1 156487
65069 -1 150773
65070 -1 29767
65071 -1 150155
65072 -1 165204
65073 -1 198336
65074 -1 26691
65097 -1 225468
65098 -1 98649
65099 -1 224448
65100 -1 89424
65109 -1 139278
65110 -1 13439
65111 -1 74780
65114 -1 153545
65115 -1 41150
65116 -1 207376
65117 -1 164461
65125 -1 201008
65130 -1 58032
65131 -1 103523
65132 -1 41569
65133 -1 55182
65154 -1 84859
65155 -1 220497
65156 -1 66580
65157 -1 247628
65158 -1 61088
65159 -1 78540
65160 -1 161798
65161 -1 20821
65168 -1 69713
65173 -1 209628
65174 -1 192571
65176 -1 182618
65177 -1 192561
65178 -1 156923
65185 -1 149145
65186 -1 103346
65190 -1 149503
65191 -1 62441
65192 -1 211182
65203 -1 143087
65204 -1 183389
65205 -1 28927
65214 -1 155795
65215 -1 248231
65216 -1 26842
65218 -1 58550
65219 -1 234247
65220 -1 94386
65221 -1 36384
65225 -1 185300
65246 -1 126950
65249 -1 109600
65250 -1 94740
65251 -1 66978
65274 -1 128412
65275 -1 181544
65280 -1 1767
65308 -1 200917
65309 -1 29638
65310 -1 47712
65311 -1 183442
65333 -1 102934
65334 -1 39430
65335 -1 61015
65394 -1 165299
65434 -1 171262
65435 -1 101517
65621 -1 38597
65622 -1 138601
65629 -1 150761
65688 -1 203317
65689 -1 136630
65690 -1 49385
65691 -1 202113
65700 -1 142096
65739 -1 201885
65740 -1 98695
65749 -1 185295
65750 -1 138817
65751 -1 161815
65800 -1 123342
65810 -1 238151
65811 -1 221912
65943 -1 154981
65944 -1 66297
65957 -1 111773
65981 -1 146413
65982 -1 126935
65983 -1 49952
65984 -1 200796
65985 -1 8461
66003 -1 178030
66004 -1 203550
66005 -1 92610
66016 -1 201760
66017 -1 3814
66041 -1 223214
66042 -1 60072
66043 -1 113782
66063 -1 61042
66075 -1 88880
66076 -1 104451
